Ad_ID,Company_Campaign_ID,FB_campaign_ID,Age,Gender,interest,Impressions,Clicks,Spent,Ctr,Cpc,Conversion_Rate,Cpa,Gender_Encoded
1121215,1178,144556,32,M,30,41636,3,4.210000038,7.20530310308387e-05,1.403333346,0.3333333333333333,4.210000038,0
779979,936,116121,37,M,16,25817,4,6.019999981,0.0001549366696362,1.50499999525,0.25,6.019999981,0
782816,936,116615,42,F,10,12183,3,2.869999945,0.0002462447672986,0.9566666483333334,0.3333333333333333,2.869999945,1
708820,916,103929,32,M,29,1915,0,0.0,0.0,0.0,0.0,0.0,0
778422,936,115848,42,F,20,11911,4,3.959999919,0.0003358240282092,0.98999997975,0.25,3.959999919,1
1122006,1178,144691,37,F,63,318157,56,85.70000196,0.0001760137290708,1.5303571778571428,0.0535714285714285,28.56666732,1
1121205,1178,144554,32,M,29,297452,30,52.01999986,0.0001008566087973,1.7339999953333334,0.1333333333333333,13.004999965,0
735189,936,108818,42,F,64,9965,3,4.050000072,0.0003010536879076,1.350000024,0.3333333333333333,4.050000072,1
735048,936,108794,37,F,64,1393,0,0.0,0.0,0.0,0.0,0.0,1
782171,936,116507,32,F,30,535,0,0.0,0.0,0.0,0.0,0.0,1
1121689,1178,144638,47,M,31,148010,24,41.96999943,0.0001621512059995,1.74874997625,0.0416666666666666,41.96999943,0
778529,936,115866,32,M,31,2214,0,0.0,0.0,0.0,0.0,0.0,0
1121122,1178,144536,32,M,20,399199,58,103.1500002,0.0001452909451175,1.7784482793103449,0.0517241379310344,34.3833334,0
1121568,1178,144618,42,M,65,188440,40,60.72999966,0.0002122691572914,1.5182499914999998,0.05,30.36499983,0
734314,936,108672,32,M,36,962,0,0.0,0.0,0.0,0.0,0.0,0
777482,936,115691,47,M,28,2479,0,0.0,0.0,0.0,0.0,0.0,0
1121597,1178,144623,47,M,15,54237,7,10.77999985,0.0001290631856481,1.5399999785714285,0.2857142857142857,5.389999925,0
776935,936,115587,47,M,36,1136,0,0.0,0.0,0.0,0.0,0.0,0
1121241,1178,144562,32,M,36,24952,5,8.220000267,0.0002003847386983,1.6440000534,0.6,2.740000089,0
